Movie Name,Movie Genre,Movie Rating,Movie Votes,Movie Revenue,Movie Year Cleaned,Movie Budget Cleaned,Movie Languages,
Coup de chance,"Comedy, Drama, Romance",6.7,1135,"1,371,879",2023, ,French,
Three Thousand Years of Longing,"Drama, Fantasy, Romance",6.7,54703,"20,282,422",2022,"60,000,000","English, Greek, Ancient (to 1453), Turkish, German, French",
Bodies Bodies Bodies,"Comedy, Horror, Thriller",6.2,58630,"13,929,670",2022, ,English,
Happiness for Beginners,"Comedy, Drama, Romance",6,14345, ,2023, ,English,
Fear the Night,"Action, Horror, Thriller",4.7,1851,"15,504",2023, ,English,
The Old Oak,Drama,7.2,648,"708,471",2023, ,English,
Blonde,"Drama, History",5.5,68830, ,2022,"22,000,000","English, Italian",
OMG 2,"Comedy, Drama",7.9,26941,"614,607",2023,6000000,"Hindi, Rajasthani",
Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,573085,"791,863",2021,"75,000,000",English,
Tár,"Drama, Music",7.4,83065,"29,030,290",2022,"25,000,000","English, German, Filipino, French",
"Are You There God? It's Me, Margaret.","Comedy, Drama, Family",7.4,15339,"21,464,043",2023,"30,000,000","English, Hebrew",
Puss in Boots: The Last Wish,"Animation, Adventure, Comedy",7.8,156661,"481,074,953",2022,"90,000,000","English, Spanish",
Tumse Na Ho Payega, ,7.7,657, ,2023, ,Hindi,
Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy",6.9,455382,"955,775,804",2022,"200,000,000","English, Spanish, Chinese",
All Quiet on the Western Front,"Action, Drama, War",7.8,224025, ,2022, ,German,
The Blackening,"Comedy, Horror, Thriller",6,13326,"18,169,453",2022, ,English,
The Promised Land,"Biography, Drama, History",7.7,458, ,2023,8400000,Danish,
Nefarious,"Horror, Thriller",6.4,18958,"5,433,685",2023, ,English,
The Matrix Resurrections,"Action, Sci-Fi",5.7,268927,"157,286,805",2021,"190,000,000","English, French, Spanish, Japanese",
Encanto,"Animation, Comedy, Family",7.2,246680,"256,786,742",2021,"50,000,000","English, Spanish",
Fantastic Beasts: The Secrets of Dumbledore,"Adventure, Family, Fantasy",6.2,159558,"407,150,844",2022,"200,000,000","English, German, Latin",
The Pale Blue Eye,"Crime, Horror, Mystery",6.6,115171, ,2022,"72,000,000","English, French, Latin",
PAW Patrol: The Movie,"Animation, Action, Adventure",6.1,7654,"144,327,371",2021,"26,000,000",English,
Eternals,"Action, Adventure, Fantasy",6.3,370443,"402,064,899",2021,"200,000,000","English, American Sign Language, Marathi, Assyrian Neo-Aramaic, Spanish, Sumerian, Latin, Sanskrit, Greek, Ancient (to 1453), Arabic",
Hellraiser,"Horror, Mystery, Thriller",6,45378,"10,303",2022, ,English,
Sing 2,"Animation, Adventure, Comedy",7.4,79729,"408,402,141",2021,"85,000,000",English,
Jurassic World Dominion,"Action, Adventure, Sci-Fi",5.6,192914,"1,001,978,080",2022,"165,000,000","English, Maltese, French",
The Gray Man,"Action, Thriller",6.5,226204,"454,023",2022,"200,000,000",English,
Sanctuary,"Drama, Thriller",6.3,5637,"46,222",2022, ,English,
They Cloned Tyrone,"Comedy, Mystery, Sci-Fi",6.6,31703, ,2023, ,English,
Halloween Kills,"Action, Horror, Thriller",5.5,94190,"133,423,964",2021,"20,000,000",English,
Sitting in Bars with Cake,"Comedy, Drama, Romance",6.4,1832, ,2023, ,English,
"Ruby Gillman, Teenage Kraken","Animation, Action, Adventure",5.7,6800,"45,093,755",2023,"70,000,000",English,
Next Goal Wins,"Comedy, Drama, Sport",6,211, ,2023, ,English,
Rotting in the Sun,"Comedy, Mystery, Thriller",7,1448, ,2023, ,Spanish,
Pleasure,Drama,6.4,20811,"393,824",2021,1729000,"English, Swedish",
Texas Chainsaw Massacre,"Crime, Horror, Thriller",4.7,58993, ,2022,"20,000,000",English,
Tetris,"Biography, Drama, History",7.4,70729, ,2023, ,English,
Malignant,"Crime, Horror, Mystery",6.2,102863,"34,891,791",2021,"40,000,000",English,
Black Adam,"Action, Adventure, Fantasy",6.3,260710,"393,252,111",2022,"195,000,000",English,
Zack Snyder's Justice League,"Action, Adventure, Fantasy",7.9,425198, ,2021,"300,000,000","English, Icelandic, French",
The Hill,"Biography, Drama, Sport",6.5,1107,"7,665,865",2023, ,English,
After Ever Happy,"Drama, Romance",4.6,9316,"19,238,073",2022, ,English,
Zombie Town,"Comedy, Horror",4.3,345,"130,802",2023, ,English,
The Lost City,"Action, Adventure, Comedy",6.1,141543,"192,907,684",2022,"68,000,000","English, Spanish, Latin, French",
Inside,"Drama, Thriller",5.5,13191,"897,19",2023, ,English,
Champions,"Comedy, Drama, Sport",6.7,20039,"18,906,455",2023, ,English,
Slotherhouse,"Comedy, Horror, Thriller",4.9,1101, ,2023, ,English,
Bones and All,"Drama, Horror, Romance",6.8,50829,"15,134,907",2022,"16,000,000",English,
The Unbearable Weight of Massive Talent,"Action, Comedy, Crime",7,136027,"29,116,320",2022,"30,000,000","English, Spanish",
